seed,Pdist
model.png,0
sd10_10x1a1.png,5.944371754
sd10_10x1a11.png,4.494935422
sd10_10x1a2.png,6.055575943
sd10_10x1a3.png,5.493936051
sd10_10x1a4.png,4.48131925
sd10_10x1a5.png,5.603272853
sd10_10x1a6.png,5.942689253
sd10_10x1a7.png,5.294966163
sd10_10x1a8.png,6.174949393
sd10_10x1a9.png,6.400173609
sd10_10x2a1.png,9.341603479
sd10_10x2a2.png,7.390759997
sd10_10x2a3.png,6.057502236
sd10_10x2a4.png,8.016441438
sd10_10x2a5.png,6.463401237
sd10_10x2a6.png,4.813291782
sd10_10x2a7.png,8.039140363
sd10_10x2a8.png,8.842008319
sd10_10x3a1.png,6.116553132
sd10_10x3a2.png,4.240414026
sd10_10x3a3.png,6.841783393
sd10_10x3a4.png,6.305112564
sd10_10x3a5.png,3.568846686
sd10_10x3a6.png,5.024274409
sd10_10x4a1.png,5.36324943
sd10_10x4a2.png,5.868465633
sd10_10x4a3.png,6.874186821
sd10_10x4a4.png,7.155106956
sd10_10x4a5.png,5.523485212
sd10_10x4a6.png,6.066025607
sd10_10x5a1.png,9.798525966
sd10_10x5a2.png,7.061397407
sd10_10x5a3.png,6.586180819
sd10_10x5a4.png,4.905778905
sd10_10x5a5.png,5.714115077
sd10_10x5a6.png,6.079290894
sd10_10x5a7.png,6.200627208
sd10_10x5a8.png,5.11457612
sd10_10x6a1.png,5.708570555
sd10_10x6a2.png,10.65087373
sd10_10x6a3.png,6.03462233
sd10_10x6a4.png,8.6560191
sd10_10x6a5.png,9.425556276
sd10_10x6a6.png,6.407807737
sd10_10x6a7.png,7.67427159
sd10_10x6a8.png,5.681744646
sd10_10x6a9.png,4.463182721
sd11_10x1a1.png,3.647830405
sd11_10x1a2.png,4.961518585
sd11_10x1a3.png,4.801967189
sd11_10x1a4.png,7.349754342
sd11_10x1a5.png,4.509372955
sd11_10x1a6.png,4.739549908
sd11_10x1a7.png,5.585894935
sd11_10x1a8.png,6.250599971
sd11_10x3a1.png,2.799404699
sd11_10x3a2.png,5.394235606
sd11_10x3a3.png,3.040285074
sd11_10x3a4.png,4.924428901
sd11_10x3a5.tiff,3.857892343
sd11_10xs1a1.png,5.515231435
sd11_10xs1a10.png,5.81406341
sd11_10xs1a2.png,3.100716763
sd11_10xs1a3.png,4.136423576
sd11_10xs1a4.png,8.353575415
sd11_10xs1a5.png,5.200106837
sd11_10xs1a6.png,3.16877123
sd11_10xs1a7.png,3.795611501
sd11_10xs1a8.png,4.365903241
sd11_10xs1a9.png,3.571025374
sd11_10xs2a1.png,3.540244813
sd11_10xs2a2.png,3.676804168
sd11_10xs2a3.png,6.07609158
sd11_10xs2a4.png,5.658818094
sd11_10xs2a5.png,6.578415885
sd11_10xs2a7.png,4.250751568
sd11_10xs2a8.png,5.282991577
sd11_10xs2a9.png,4.783072002
sd11_10xs3a2.png,8.953584012
sd11_10xs3a3.png,5.670782819
sd11_10xs3a4.png,5.911946474
sd11_10xs3a5.png,7.287889498
sd11_10xs4a1.png,6.610009245
sd11_10xs4a3.png,5.124017521
sd11_10xs4a5.png,5.400822983
sd11_10xs4a6.png,5.833428571
sd11_10xs4a7.png,7.397597208
sd11_10xs4a8.png,4.625172669
sd11_10xs5a1.png,3.908111223
sd11_10xs5a2.png,5.945586598
sd11_10xs5a4.png,7.628382674
sd11_10xs5a5.png,8.280230807
sd12_10x1a1.png,5.333749984
sd12_10x1a2.png,4.42756517
sd12_10x1a3.png,4.302195822
sd12_10x2a1.png,5.930336322
sd12_10x2a2.png,4.547038108
sd12_10x2a3.png,4.537987807
sd12_10x2a4.png,6.022365722
sd12_10x2a5.png,5.744175794
sd12_10x2a6.png,7.425481653
sd12_10x3a1.png,6.787324788
sd12_10x3a2.png,5.914295299
sd12_10x3a3.png,4.865867514
sd12_10x3a4.png,6.650146197
sd12_10x3a5.png,5.360451888
sd12_10x3a6.png,5.808709935
sd12_10x3a7.png,6.045843384
sd12_10x3a8.png,7.17309789
sd12_10x3a9.png,5.927431522
sd12_10x4a1.png,6.412834353
sd12_10x4a2.png,4.768414598
sd12_10x4a3.png,5.043367482
sd12_10x4a4.png,4.260412082
sd12_10x4a5.png,6.936057157
sd12_10x4a6.png,5.548473263
sd12_10x4a7.png,5.406169315
sd12_10x4a8.png,6.906759974
sd12_10x5a1.png,5.03189825
sd12_10x5a3.png,5.208966628
sd12_10x5a4.png,3.903132645
sd12_10x5a5.png,5.299580696
sd12_10x5a6.tiff,4.519709922
sd12_10x6a1.png,4.576388678
sd12_10x6a2.png,6.925155433
sd12_10x6a3.png,8.193628961
sd12_10x6a5.png,5.108054642
sd12_10x7a1.png,5.173221648
sd12_10x7a2.tiff,4.936598019
sd12_10x7a3.png,3.568691014
sd12_10x7a5.png,3.959236739
sd12_10x7a6.png,6.982358723
sd12_10x7a7.png,4.050788675
sd13_10x2a1.png,4.537865382
sd13_10x2a2.png,3.688570937
sd13_10x2a3.png,6.27012316
sd13_10x2a4.png,5.271411365
sd13_10x31.png,2.551905606
sd14_10x5a1.png,6.605048574
sd14_10x5a2.png,5.58350746
sd14_10x5a3.png,3.855155279
sd14_10x5a4.png,6.276145314
sd14_10x5a5.png,5.912322349
sd14_10x81.png,5.766473985
sd14_10x82.png,4.495182607
sd14_10x83.png,6.290380663
sd14_10x84.png,3.743438704
sd14_10x85.png,4.161730409
sd14_10x86.png,15.3166576
sd14_10x87.png,5.458123406
sd14_10x9a1.png,5.579924332
sd14_10xs11a1.png,8.344858697
sd14_10xs11a2.png,5.850925853
sd14_10xs11a3.png,7.239705335
sd14_10xs11a4.png,6.731187777
sd14_10xs1a1.png,7.34982993
sd14_10xs1a2.png,8.261893783
sd14_10xs1a4.png,6.500769185
sd14_10xs1a5.tiff,6.784049921
sd14_10xs1a6.png,8.073413157
sd14_10xs1a7.png,8.137703744
sd14_10xs2a1.png,5.302200801
sd14_10xs2a2.png,8.923003978
sd14_10xs2a3.png,6.196504391
sd14_10xs2a4.png,8.132581933
sd14_10xs2a5.png,6.795341542
sd14_10xs2a6.png,5.81731133
sd14_10xs2a7.png,9.24920417
sd14_10xs2a8.png,6.952777223
sd14_10xs2a9.png,7.100391226
sd14_10xs3a1.png,8.031673411
sd14_10xs3a2.png,6.681234084
sd14_10xs3a3.png,7.691192654
sd14_10xs3a4.png,7.272856691
sd14_10xs3a5.tiff,6.420020768
sd14_10xs3a6.png,5.935205697
sd14_10xs3a7.png,5.774945887
sd14_10xs3a8.png,6.624198065
sd14_10xs5a1.png,10.66968707
sd14_10xs5a2.png,9.461853236
sd14_10xs5a3.png,7.707427875
sd14_10xs5a4.tiff,6.850060827
sd14_10xs5a5.png,7.654773384
sd14_10xs5a6.png,7.755929631
sd14_10xs5a7.tiff,7.588880755
sd14_10xs5a8.png,5.858422237
sd14_10xs6a1.png,8.932462644
sd14_10xs6a2.png,9.899551056
sd14_10xs6a3.png,8.753094691
sd14_10xs6a4.png,8.716268315
sd14_10xs6a5.png,7.092719272
sd14_10xs6a6.png,7.371717725
sd14_10xs6a7.png,5.940351654
sd14_10xs7a1.png,4.451716273
sd14_10xs7a10.png,8.525843067
sd14_10xs7a11.png,6.268439466
sd14_10xs7a12.png,6.178097514
sd14_10xs7a2.png,10.63072068
sd14_10xs7a3.png,4.263670823
sd14_10xs7a4.png,10.58946017
sd14_10xs7a5.png,4.821479718
sd14_10xs7a6.png,5.835428195
sd14_10xs7a7.png,5.487257967
sd14_10xs7a8.png,8.518215776
sd14_10xs7a9.png,5.383720316
sd14_10xs9a1.png,10.50296255
sd14_10xs9a2.png,4.056818677
sd14_10xs9a3.png,7.224033961
sd14_10xs9a4.png,4.198809355
sd14_10xs9a5.png,5.680766771
sd14_10xs9a6.png,5.158272751
sd14_10xs9a7.png,7.845947291
sd14_10xs9a8.png,4.111366358
sd17_10x1a1.png,4.695269487
sd17_10x1a2.png,4.556192367
sd17_10x1a3.png,5.56696606
sd17_10x2a1.png,5.059863854
sd17_10x2a2.png,4.142194802
sd17_10x2a3.png,2.107394389
sd17_10x3a1.png,6.932532005
sd17_10x3a2.png,5.008437326
sd17_10x3a3.png,4.485284582
sd17_10x3a4.png,5.469105147
sd17_10x4a1.png,5.648500293
sd17_10x4a2.png,5.651351854
sd17_10x4a3.png,4.726403378
sd17_10x5a1.png,5.935767291
sd17_10x5a2.png,5.784269857
sd17_10x5a3.png,6.121365135
sd17_10x5a4.png,7.526545615
sd17_10x5a5.png,6.458327957
sd17_10x62.png,3.147838765
sd17_10x63.png,5.354022372
sd17_10x64.png,4.491349711
sd18_10x1a1.png,4.074991479
sd18_10x1a2.png,4.853406593
sd18_10x1a3.png,4.558264777
sd18_10x1a4.png,4.122566622
sd18_10x1a5.png,2.615126936
sd18_10x1a6.png,6.671248426
sd18_10x1a7.png,4.212019837
sd18_10x1a8.png,6.325521498
sd18_10x2a1.png,4.048456496
sd18_10x2a2.png,3.580968212
sd18_10x2a3.png,6.134510757
sd18_10x2a4.png,5.186306757
sd18_10x3a1.png,9.827681992
sd18_10x3a2.png,6.377477732
sd18_10x3a3.png,5.037856687
sd18_10x4a1.png,4.485284582
sd18_10x4a2.png,3.075350025
sd18_10x4a3.png,3.823756152
sd18_10x4a4.png,2.493547228
sd18_10x5a1.png,8.14302701
sd18_10x5a2.png,9.752207727
sd18_10x5a3.png,5.627413063
sd18_10xs1a1.png,5.174080702
sd18_10xs1a2.png,5.690342696
sd18_10xs1a3.png,5.722955724
sd18_10xs1a4.png,4.568612724
sd18_10xs1a5.tiff,10.86211561
sd18_10xs1a6.png,4.226109322
sd18_10xs2a1.png,3.770352179
sd18_10xs2a2.png,5.776292544
sd18_10xs2a3.png,5.324784816
sd18_10xs2a4.png,5.189091121
sd18_10xs2a5.png,5.210779426
sd18_10xs2a6.png,5.357549191
sd18_10xs2a7.png,6.781346966
sd18_10xs3a1.png,5.749782605
sd18_10xs3a2.png,4.063249931
sd18_10xs3a3.png,5.318730007
sd18_10xs3a4.png,5.395883204
sd18_10xs4a1.png,6.416125518
sd18_10xs4a2.png,4.882280888
sd18_10xs4a3.png,5.971227307
sd18_10xs4a4.png,4.917090377
sd18_10xs4a5.png,5.35225809
sd18_10xs4a6.png,6.396266272
sd18_10xs4a7.png,6.066849814
sd19_10x31.png,14.06354626
sd19_10x5a1.png,9.15235246
sd19_10x5a2.png,13.79581257
sd19_10xs2a3.png,4.368193117
sd19_10xs2a4.png,4.643035406
sd19_10xs31.png,4.078943218
sd19_10xs32.png,3.376882191
sd19_10xs33.png,8.84263661
sd1_10x1a1.png,6.906599099
sd1_10x1a2.png,5.577932711
sd1_10x1a3.png,7.251436639
sd1_10x1a4.png,8.399272455
sd1_10x3a1.png,6.489221833
sd1_10x3a2.png,4.569342282
sd1_10x3a3.tiff,4.537742953
sd1_10x41.png,4.552654903
sd1_10x42.png,4.50074068
sd1_10x43.png,3.944757421
sd1_10x44.png,4.114203041
sd1_10x45.png,4.473502232
sd1_10x46.png,4.418018661
sd1_10x47.png,3.977576035
sd1_10xs1a2.png,7.199459856
sd1_10xs1a3.png,5.531124057
sd1_10xs1a4.png,5.359622706
sd1_10xs1a5.png,5.680571176
sd1_10xs1a6.png,5.095967905
sd1_10xs8a1.png,6.089243704
sd1_10xs8a10.png,6.521928822
sd1_10xs8a11.png,4.738143096
sd1_10xs8a2.png,4.820327329
sd1_10xs8a3.png,5.937638887
sd1_10xs8a4.png,4.667142833
sd1_10xs8a5.png,5.177086268
sd1_10xs8a6.png,5.831237719
sd1_10xs8a7.png,4.843667114
sd1_10xs8a8.png,5.775426872
sd1_10xs8a9.png,5.271516754
sd1_10xs92.png,7.565565265
sd1_10xs93.png,5.613475849
sd1_10xs94.png,6.17647868
sd1_10xs95.tiff,4.429196064
sd20_10x1a1.png,4.960734713
sd20_10x1a2.png,5.584601846
sd20_10x1a3.png,6.134329629
sd20_10x1a4.png,5.215468446
sd20_10x2a1.png,3.642038501
sd20_10x2a2.png,4.430575583
sd20_10x2a3.png,4.399368642
sd20_10x2a4.png,3.60385596
sd20_10x3a1.png,5.154394026
sd20_10x3a2.png,6.336052048
sd20_10x3a3.png,3.050682984
sd20_10x3a4.png,5.374218289
sd20_10x3a5.png,4.415125517
sd20_10x3a6.png,4.406056438
sd20_10x4a1.png,3.957833302
sd20_10x4a2.png,4.929615716
sd20_10x4a3.png,5.049312384
sd20_10x5a1.png,6.939100166
sd20_10x5a2.png,5.260122517
sd20_10x5a3.png,5.186092513
sd20_10x6a1.png,5.280677566
sd20_10x6a2.png,5.724023449
sd20_10x6a3.png,5.357756579
sd20_10x6a4.png,3.972684511
sd20_10x6a5.png,5.058875589
sd20_10x6a6.png,8.873055343
sd20_10x6a7.png,5.943810974
sd20_10x7a1.png,3.73452362
sd20_10x7a2.png,8.953149663
sd20_10x7a3.png,3.600154318
sd20_10x9a1.png,3.311931293
sd20_10x9a2.png,4.560579885
sd20_10x9a3.png,11.14958893
sd20_10x9a4.png,4.629614815
sd20_10x9a5.png,6.071884203
sd20_10xs1a1.png,5.843514924
sd20_10xs1a2.png,5.391041952
sd20_10xs1a3.png,4.039389393
sd20_10xs1a4.png,3.916347505
sd20_10xs2a1.png,5.649385414
sd20_10xs2a2.png,3.930790138
sd20_10xs2a3.png,5.226534862
sd20_10xs3a1.png,2.914523022
sd20_10xs3a2.png,5.77456107
sd20_10xs3a3.png,6.699087832
sd20_10xs4a1.png,2.848586394
sd20_10xs4a2.png,5.05448096
sd22_10x1a1.png,4.203569911
sd22_10x1a2.png,5.64200516
sd22_10x1a3.png,4.620485785
sd22_10x1a4.png,3.737497677
sd22_10x2a1.png,4.489741393
sd22_10x2a2.png,3.69459064
sd22_10x2a3.png,6.134601318
sd22_10x2a4.png,4.718756898
sd22_10x2a5.png,4.397221345
sd22_10x2a6.png,3.343982988
sd22_10x2a7.png,5.23120976
sd22_10x3a1.png,2.930680619
sd22_10x3a2.png,5.310785671
sd22_10x3a3.png,4.370608907
sd22_10x3a4.png,4.078262157
sd22_10x3a5.png,4.751841748
sd22_10x4a1.png,3.746405685
sd22_10x4a2.png,4.686979601
sd22_10x4a3.png,3.750703638
sd22_10x4a4.png,3.818522111
sd22_10x4a5.png,5.178910224
sd22_10x5a1.png,8.297054364
sd22_10x5a2.png,6.839346947
sd22_10x5a3.png,3.809345234
sd22_10x5a4.tiff,4.796642344
sd22_10x5a5.png,5.258115421
sd22_10x6a1.png,3.739132401
sd22_10x6a2.png,5.095967905
sd22_10x6a3.png,3.925132694
sd22_10x6a4.png,4.468780594
sd22_10x6a5.png,3.206590436
sd23_10x10a1.png,4.568126287
sd23_10x10a2.png,3.635167733
sd23_10x10a3.png,4.454086763
sd23_10x10a4.png,7.053525517
sd23_10x1b1.png,3.553245778
sd23_10x1b2.png,6.117642974
sd23_10x1b3.png,5.043257325
sd23_10x1b4.png,3.63302751
sd23_10x1b5.png,4.254017709
sd23_10x5a1.png,5.058326469
sd23_10x5a2.png,8.177951387
sd23_10x5a3.png,5.90235358
sd23_10x5a4.png,4.810636364
sd23_10x5a5.png,5.404833228
sd23_10x5a6.png,5.037966962
sd23_10x8a1.png,4.408451479
sd23_10x8a2.png,6.581202187
sd23_10x8a3.png,4.761769046
sd23_10x8a4.png,5.967783881
sd23_10x8a5.png,4.780980838
sd23_10x9a1.png,5.51724569
sd23_10x9a2.png,5.156118264
sd23_10x9a3.png,5.941380311
sd23_10xs1a1.png,3.059774865
sd23_10xs1a2.png,6.917770996
sd23_10xs1a3.png,5.349039374
sd23_10xs1a4.png,6.520736155
sd23_10xs1a5.png,3.664544841
sd23_10xs1a6.png,4.514544397
sd23_10xs2a1.png,3.555902761
sd23_10xs2a2.png,5.241501057
sd23_10xs2a3.png,6.365968548
sd23_10xs2a4.png,7.408553615
sd23_10xs3a1.png,5.186092513
sd23_10xs3a2.png,4.433959855
sd23_10xs3a3.png,4.015525426
sd23_10xs3a4.png,4.415125517
sd23_10xs4a1.png,4.165466494
sd23_10xs4a2.png,4.638486343
sd23_10xs4a3.png,2.39582971
sd23_10xs4a4.png,4.524255617
sd23_10xs4a5.png,5.141659914
sd23_10xs4a6.png,5.405244367
sd23_10xs4a7.png,6.096264794
sd23_10xs5a1.png,5.56486997
sd23_10xs5a2.png,5.578729445
sd23_10xs5a3.png,3.367491648
sd23_10xs5a4.png,4.60506967
sd23_10xs5a5.png,3.287687468
sd23_10xs5a6.png,4.225846398
sd23_10xs5a7.png,6.095900262
sd23_10xs6a1.png,4.26510388
sd24_10x2a1.tiff,4.520570269
sd24_10x2a2.png,4.751724833
sd24_10x2a3.png,4.14635047
sd24_10x2a4.png,5.433026576
sd25_10x1a1.png,2.881550509
sd25_10x1a2.png,3.628590176
sd25_10x2a1.png,8.986718595
sd25_10x2a2.png,4.158926143
sd25_10x2a3.png,8.154548833
sd25_10x3a1.png,5.02748004
sd25_10x3a2.png,6.992138443
sd25_10x4a1.png,9.578738029
sd25_10x4a2.png,4.959278621
sd25_10x4a3.tiff,10.68399634
sd26_10x1a1.png,3.709447398
sd26_10x3a1.tiff,4.229919884
sd26_10x3a2.png,4.352011029
sd26_10x3a3.png,6.733085804
sd27_10x1a1.png,2.631433914
sd27_10x1a2.png,6.681150932
sd27_10x1a3.png,3.444157694
sd27_10x1a4.png,4.187149654
sd27_10x2a1.png,3.438345856
sd27_10x2a2.png,5.422791409
sd27_10x3a1.png,6.377303505
sd27_10x3a2.png,8.040936927
sd27_10x4a1.png,4.202909045
sd27_10x4a2.png,2.403238556
sd27_10x4a3.png,5.095967905
sd27_10x5a1.png,4.066939882
sd27_10x5a2.png,4.437717131
sd27_10x5a3.png,4.008879034
sd27_10x5a4.png,5.005552473
sd27_10x6a1.png,4.273042112
sd27_10x6a2.png,4.244473531
sd28_10x1a2.png,4.869405622
sd28_10x1a3.tiff,4.444097209
sd28_10x1a4.png,3.59057408
sd28_10x1a5.png,4.52891942
sd28_10x1a6.png,3.953057888
sd28_10x1a7.png,3.943630589
sd28_10x1a8.png,7.167131768
sd28_10x2a1.png,4.095932942
sd28_10x2a2.png,3.890444133
sd28_10x2a3.png,4.385329077
sd28_10x2a4.png,4.74341649
sd28_10x2a5.png,4.610254271
sd28_10x3a1.png,5.555177765
sd28_10x3a2.png,4.275641602
sd28_10x3a3.png,3.888015775
sd28_10x4a1.png,6.160086579
sd28_10x4a2.png,6.88839604
sd28_10x4a3.png,4.635491104
sd28_10x5a1.png,4.559239703
sd28_10x5a2.png,4.30297055
sd28_10x6a1.png,4.649970131
sd28_10x6a2.png,5.281624329
sd28_10x6a3.png,5.187270745
sd28_10x6a4.png,4.383048153
sd28_10x6a5.png,4.856725005
sd28_10x7a1.png,4.836665518
sd28_10x7a2.png,4.228080731
sd28_10x7a3.png,4.755815154
sd28_10x7a4.png,5.803160059
sd28_10x7a5.png,4.474371464
sd28_10xs5a1.png,5.849596377
sd28_10xs5a2.png,5.147167506
sd28_10xs5a3.png,7.137693372
sd28_10xs5a4.png,4.24931367
sd28_10xs5a5.png,5.118376479
sd28_10xs7a1.png,3.091385881
sd28_10xs7a2.png,3.902420901
sd28_10xs7a3.png,5.33916348
sd28_10xs7a4.png,3.219213154
sd28_10xs7a5.png,5.229085325
sd28_10xs7a6.png,5.68467726
sd28_10xs8a1.png,6.722185491
sd28_10xs8a10.png,6.160627674
sd28_10xs8a2.png,5.020956084
sd28_10xs8a3.png,7.979905318
sd28_10xs8a4.png,4.303099658
sd28_10xs8a5.png,8.253080233
sd28_10xs8a6.png,6.260635396
sd28_10xs8a7.png,3.970446378
sd28_10xs8a8.png,5.697075273
sd28_10xs8a9.png,9.320407716
sd29_10x2a1.png,0
sd29_10x2a2.png,3.941657858
sd29_10xs1a1.png,5.612684048
sd29_10xs1a2.png,3.934745509
sd29_10xs1a3.png,4.639923371
sd29_10xs1a4.png,3.825354014
sd29_10xs1a5.png,5.812343188
sd29_10xs2a2.png,4.774585497
sd29_10xs2a3.png,4.350351199
sd29_10xs3a1.png,5.635601121
sd29_10xs3a2.png,4.252319628
sd29_10xs4a1.png,5.090077493
sd29_10xs5a1.png,4.748333041
sd29_10xs5a2.png,2.983845394
sd2_10x1a1.png,4.062566239
sd2_10x1a2.png,6.921865516
sd2_10x1a3.png,6.001851566
sd2_10x1a4.png,4.672377458
sd2_10x2a1.png,3.848520639
sd2_10x2a2.png,6.140937315
sd2_10x2a3.png,4.186618896
sd2_10x2a4.png,4.347540812
sd2_10x2a5.png,4.851460261
sd2_10x3a1.png,4.695387808
sd2_10x3a2.png,3.668332955
sd2_10x3a3.png,4.15438189
sd2_10x3a4.png,3.698648402
sd2_10x3a5.png,5.189519353
sd2_10x4a1.png,6.056768482
sd2_10x4a2.png,4.108527717
sd2_10x4a3.png,4.582333224
sd2_10x4a4.png,4.82182538
sd2_10x4a5.png,6.746521738
sd2_10x4a6.png,4.418647355
sd2_10x4a7.png,3.78256233
sd2_10x4a8.png,4.176787708
sd2_10x5a1.png,5.7106139
sd2_10x5a2.png,3.528770639
sd2_10x5a3.png,3.758693626
sd2_10x5a4.png,3.867384991
sd2_10x5a5.png,4.464302857
sd2_10x6a1.png,5.019517462
sd2_10x6a2.png,5.251454825
sd2_10x6a3.png,4.029474738
sd2_10x6a4.png,4.045024378
sd2_10x6a5.png,3.873126787
sd2_10x6a6.png,3.922300912
sd2_10x7a1.png,3.603393462
sd2_10x7a2.png,2.750757471
sd2_10x7a3.png,5.539354154
sd2_10x7a4.png,4.750672467
sd2_10x7a5.png,4.554362988
sd2_10x7a6.png,3.754996671
sd2_10x7a7.png,5.847411583
sd2_10x7a8.png,7.846372127
sd30_10x4a1.png,2.916619047
sd30_10x4a2.png,4.222821595
sd30_10x4a3.png,5.979130372
sd30_10x4a4.png,3.6935379
sd3_10x3a1.png,13.0772916
sd3_10x3a2.png,6.305112564
sd3_10x3a3.png,8.749031692
sd3_10x3a4.png,3.814591867
sd3_10x3a5.png,6.039407624
sd3_10xs1a2.png,5.039731033
sd3_10xs1a3.png,6.993330156
sd3_10xs1a4.png,5.282150236
sd3_10xs3a1.png,7.966736401
sd3_10xs3a2.png,6.853142021
sd5_10x1a1.png,6.221736092
sd5_10x1a2.png,5.642497477
sd5_10x1a3.png,4.920817457
sd5_10x2a1.png,7.493997598
sd5_10x2a2.png,3.555746523
sd5_10x2a3.png,4.935472509
sd5_10x2a4.png,4.564232928
sd5_10x2a5.png,5.198610926
sd5_10x2a6.png,4.319207746
sd5_10x2a7.png,6.442739238
sd5_10x2a8.png,6.319985935
sd5_10x2a9.png,6.37878428
sd5_10x3a1.png,3.969466799
sd5_10x3a2.png,5.578729445
sd5_10x3a4.png,7.597367965
sd5_10x3a5.png,5.548973879
sd5_10x4a1.png,3.713937713
sd5_10x4a2.png,5.885386799
sd5_10x4a3.png,7.075544738
sd5_10x4a4.png,7.656805252
sd5_10x4a5.png,4.971362433
sd5_10x4a6.png,6.40060761
sd5_10xs1a1.png,6.562604497
sd5_10xs1a2.png,5.007549856
sd5_10xs2a1.png,6.556760718
sd5_10xs3a1.png,3.779329747
sd5_10xs3a2.png,5.225578118
sd5_10xs6a1.png,4.504935565
sd5_10xs6a3.png,5.468394036
sd5_10xs6a4.png,3.462497493
sd5_10xs6a5.png,5.002443847
sd5_10xs7a1.png,3.120897307
sd5_10xs7a2.png,6.32288612
sd5_10xs7a3.png,3.812552368
sd5_10xs7a4.png,3.281598526
sd6_10xs1a1.png,4.620485785
sd6_10xs1a2.png,4.03718824
sd6_10xs1a3.png,5.896043871
sd6_10xs1a4.png,4.320236619
sd6_10xs1a5.png,6.415952341
sd6_10xs1a6.png,4.537008314
sd6_10xs1a7.png,3.554652663
sd6_10xs1a8.png,10.45216618
sd6_10xs2a1.png,6.383485638
sd6_10xs2a2.png,4.978397779
sd6_10xs2a3.png,6.444377394
sd6_10xs2a4.png,7.341586265
sd6_10xs2a5.png,7.634061101
sd6_10xs2a6.png,4.664523317
sd6_10xs4a10.png,7.973010027
sd6_10xs4a11.png,3.829128128
sd6_10xs4a12.png,4.899659852
sd6_10xs4a2.png,3.996387257
sd6_10xs4a3.png,5.432310742
sd6_10xs4a4.png,4.244735301
sd6_10xs4a5.png,4.641599341
sd6_10xs4a7.png,4.764684903
sd6_10xs4a9.png,4.354690957
sd6_10xs5a1.png,5.941099786
sd6_10xs5a2.png,3.41597554
sd6_10xs5a3.png,6.236451983
sd6_10xs5a4.png,3.177350399
sd6_10xs5a6.png,4.83678038
sd6_10xs5a7.png,4.240283009
sd6_10xs5a8.png,4.934121559
sd6_10xs5a9.png,5.51613794
sd6_10xs7a1.png,5.664901686
sd6_10xs7a10.png,4.514544397
sd6_10xs7a11.png,4.56471978
sd6_10xs7a2.png,3.8055515
sd6_10xs7a3.png,5.500505027
sd6_10xs7a4.png,5.485739087
sd6_10xs7a5.png,4.785162252
sd6_10xs7a6.png,3.344149119
sd6_10xs7a7.png,4.445722039
sd6_10xs7a8.png,5.642300555
sd6_10xs7a9.png,6.734570843
sd7_10x1a1.png,3.454626527
sd7_10x1a2.tiff,5.635206789
sd7_10x1a3.png,4.078670807
sd7_10x1a4.png,6.441704398
sd7_10x2a1.png,3.609093453
sd7_10x2a2.png,8.550308636
sd7_10x2a3.png,3.977576035
sd7_10x3a1.png,5.825423208
sd7_10x3a2.png,6.522184365
sd7_10x3a3.png,4.269920634
sd7_10x3a4.png,4.364503281
sd7_10x3a5.png,3.359398094
sd7_10x3a6.png,5.808136056
sd7_10x4a1.png,4.91912368
sd7_10x4a2.png,4.797684627
sd7_10x4a3.png,4.960734713
sd7_10x4a4.png,5.849786321
sd7_10x4a6.png,4.310967924
sd7_10x4a7.png,4.765151274
sd7_10x4a8.png,8.909732506
sd7_10x4a9.png,6.391661234
sd7_10x5a10.png,4.368193117
sd7_10x5a11.png,3.560430686
sd7_10x5a12.png,3.660601044
sd7_10x5a13.png,6.535203814
sd7_10x5a2.png,4.371498599
sd7_10x5a3.png,5.571654452
sd7_10x5a4.png,7.635443668
sd7_10x5a5.png,3.911521443
sd7_10x5a6.png,6.514684268
sd7_10x5a7.png,3.602776707
sd7_10x5a8.png,5.081447738
sd7_10x5a9.png,4.594199241
sd7_10x6a1.png,3.348631561
sd7_10x6a10.png,2.904211501
sd7_10x6a11.png,4.681405297
sd7_10x6a3.png,4.508756912
sd7_10x6a4.png,3.930366112
sd7_10x6a5.png,5.746206478
sd7_10x6a6.png,3.718721405
sd7_10x6a7.png,2.900957696
sd7_10x6a8.png,4.511220579
sd7_10x6a9.png,7.310342749
sd7_10x7a1.png,3.459287017
sd7_10x7a2.png,5.243620463
sd7_10x7a3.png,5.062388545
sd7_10x7a4.png,7.160695187
sd7_10x7a5.png,6.186813935
sd7_10x7a6.png,3.057413577
sd8_10x1a1.png,3.706900472
sd8_10x1a2.png,5.726449356
sd8_10x1a3.png,4.60904907
sd8_10x2a1.png,3.006844045
sd8_10x2a2.png,7.301674085
sd8_10x2a3.png,4.26484336
sd8_10x2a4.png,5.60178543
sd8_10x2a5.png,6.941741696
sd8_10x2a6.png,4.041314418
sd8_10xs1a1.png,6.070053999
sd8_10xs1a2.png,5.943997906
sd8_10xs1a4.png,4.375436486
sd8_10xs1a6.png,4.196691819